GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot,com.nnk.springboot.controllers,LoginController,31,7,0,0,9,2,2,2,2,2
springboot,com.nnk.springboot.controllers,HomeController,10,7,0,0,4,2,2,2,2,2
springboot,com.nnk.springboot.controllers,CurveController,190,7,8,0,61,2,10,2,6,2
springboot,com.nnk.springboot.controllers,UserController,253,7,14,0,76,2,14,2,7,2
springboot,com.nnk.springboot.controllers,BidListController,190,7,8,0,61,2,10,2,6,2
springboot,com.nnk.springboot.controllers,RatingController,187,7,8,0,60,2,10,2,6,2
springboot,com.nnk.springboot.controllers,TradeController,205,7,10,0,64,2,11,2,6,2
springboot,com.nnk.springboot.controllers,RuleNameController,205,7,10,0,64,2,11,2,6,2
springboot,com.nnk.springboot.service,RuleNameService,44,101,1,3,11,24,1,11,0,10
springboot,com.nnk.springboot.service,TradeService,68,120,7,5,16,29,6,12,1,11
springboot,com.nnk.springboot.service,AuthenticationUserService,33,3,0,0,7,1,2,1,2,1
springboot,com.nnk.springboot.service,RatingService,36,93,1,3,9,22,1,11,0,10
springboot,com.nnk.springboot.service,BidListService,68,120,7,5,16,29,6,12,1,11
springboot,com.nnk.springboot.service,CurvePointService,67,119,5,5,16,29,5,12,1,11
springboot,com.nnk.springboot.service,ValidatorPasswordImpl,18,3,2,0,6,1,2,1,1,1
springboot,com.nnk.springboot.service,UserService,99,132,4,4,20,28,8,12,4,12
springboot,com.nnk.springboot.config,WebSecurity,0,180,0,0,0,20,0,5,0,5
springboot,com.nnk.springboot.config,ActuatorHttpTrace,0,7,0,0,0,2,0,2,0,2
springboot,com.nnk.springboot.config,Authentication,0,23,0,0,0,7,0,3,0,3
springboot,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
springboot,com.nnk.springboot.domain,Rating,197,53,46,0,1,14,27,12,4,12
springboot,com.nnk.springboot.domain,RuleName,263,73,62,0,1,18,35,16,4,16
springboot,com.nnk.springboot.domain,BidList,876,51,182,0,18,12,129,12,38,12
springboot,com.nnk.springboot.domain,Trade,836,48,174,0,17,11,123,12,36,12
springboot,com.nnk.springboot.domain,User,197,38,46,0,1,6,27,11,4,11
springboot,com.nnk.springboot.domain,CurvePoint,240,47,54,0,2,12,34,11,7,11
springboot,com.nnk.springboot.domain.dto,UserDTO,210,0,38,0,14,0,33,0,14,0
springboot,com.nnk.springboot.domain.dto,BidListDTO,210,0,38,0,14,0,33,0,14,0
springboot,com.nnk.springboot.domain.dto,TradeMapperImpl,24,3,0,0,6,1,2,1,2,1
springboot,com.nnk.springboot.domain.dto,CurvePointMapperImpl,24,3,0,0,6,1,2,1,2,1
springboot,com.nnk.springboot.domain.dto,UserLoginDTO,210,0,38,0,14,0,33,0,14,0
springboot,com.nnk.springboot.domain.dto,CurvePointDTO,210,0,38,0,14,0,33,0,14,0
springboot,com.nnk.springboot.domain.dto,BidListMapperImpl,24,3,0,0,6,1,2,1,2,1
springboot,com.nnk.springboot.domain.dto,UserLoginMapperImpl,24,3,0,0,6,1,2,1,2,1
springboot,com.nnk.springboot.domain.dto,UserMapperImpl,24,3,0,0,6,1,2,1,2,1
springboot,com.nnk.springboot.domain.dto,TradeDTO,210,0,38,0,14,0,33,0,14,0
